Uuid,Void/Retire,Fully specified name:en,Data class,Data type
,FALSE,Absorbable Sutures 2/0 12 PCS/ Box,Medical supply,N/A
,FALSE,Absorbable Sutures 3/0 12 PCS/ Box,Medical supply,N/A
,FALSE,Absorbable Sutures 4/0 12 PCS/ Box,Medical supply,N/A
,FALSE,Adhesive Pad 10*10 Cm 25 PCS/Box,Medical supply,N/A
,FALSE,Adhesive Pad 10*20 Cm 25 PCS/Box,Medical supply,N/A
,FALSE,Adjustable Nurse Tourniquet PCS,Medical supply,N/A
,FALSE,Alcohol 70% Hand Hanitizer Gel . 0.5 Litre/Bott,Medical supply,N/A
,FALSE,Alcohol 70% Soln. 1 Litre/Bott,Medical supply,N/A
,FALSE,Alcohol Swab 70% (100 PCS/Box),Medical supply,N/A
,FALSE,Arm Sling (L/M/S) PCS,Medical supply,N/A
,FALSE,Blood Glucose Test Strips 50 PCS/Box,Medical supply,N/A
,FALSE,Blood Lancets 50 PCS/Box,Medical supply,N/A
,FALSE,Bowl 100 ML Stainlss steel,Medical supply,N/A
,FALSE,Cannula G22 (Blue) (100 PCS/Box),Medical supply,N/A
,FALSE,Cannula G24 (Yellow) (100 PCS/Box),Medical supply,N/A
,FALSE,Canula G20 (Pink) (100 PCS/Box),Medical supply,N/A
,FALSE,Chlorohexidine 5% Soln. 1 Littre /Bott,Medical supply,N/A
,FALSE,Colostomy Bag with Base,Medical supply,N/A
,FALSE,Cotton 100 Gram /Bag,Medical supply,N/A
,FALSE,Cotton 500 Gram / Roll,Medical supply,N/A
,FALSE,Delivary Kit & Episiotomy 7& 8,Medical supply,N/A
,FALSE,Dextrose 5% soln. 0.5 L/Bott,Medical supply,N/A
,FALSE,Digital Sphygnomanometer,Medical supply,N/A
,FALSE,Digital Thermometer,Medical supply,N/A
,FALSE,Disbosbale Under sheet 180*90 CM 30 PCS/Box,Medical supply,N/A
,FALSE,Disbosbale Under sheet 60*90 CM 30 PCS/Box,Medical supply,N/A
,FALSE,Dressing Kit,Medical supply,N/A
,FALSE,Dressing Tray,Medical supply,N/A
,FALSE,ECG Gel liter,Medical supply,N/A
,FALSE,ECG Paper Roll,Medical supply,N/A
,FALSE,Elastic Crepe Bandage Roll (10CM*4.5 M) PCS,Medical supply,N/A
,FALSE,Electronic Nebulizer,Medical supply,N/A
,FALSE,Eye Googles PCS,Medical supply,N/A
,FALSE,First Aid Instant Cold/Hot Pack (Reusable) PCS,Medical supply,N/A
,FALSE,Forceps Size 14.5 CM Stainlss steel,Medical supply,N/A
,FALSE,Gauze Roll 10 Cm *4.5 M PCS,Medical supply,N/A
,FALSE,Gauze Swab 10*10 cm (compressed) 12 ply,Medical supply,N/A
,FALSE,Gloves latex Powder free size L (50 Pairs /Box),Medical supply,N/A
,FALSE,Gloves latex Powder free size M (50 Pairs /Box),Medical supply,N/A
,FALSE,Gloves latex Powder free size S (50 Pairs /Box),Medical supply,N/A
,FALSE,Glucometer,Medical supply,N/A
,FALSE,Hydrogen Peroxide H2O2 100 ML /Bott,Medical supply,N/A
,FALSE,Kidney Basin stainless steel,Medical supply,N/A
,FALSE,Manual Sphygnomanometer,Medical supply,N/A
,FALSE,Measuring Tape (150 CM),Medical supply,N/A
,FALSE,Measuring Tape (150 CM) with BMI,Medical supply,N/A
,FALSE,Medical Apron (S-M-L ),Medical supply,N/A
,FALSE,"Medical Waste Bags (Red, Yelow, Black )",Medical supply,N/A
,FALSE,Mesh Roll bandage 10 Meter,Medical supply,N/A
,FALSE,Mouthpiece Adults,Medical supply,N/A
,FALSE,NaDCC Tab 1.67 200 Tab/ box,Medical supply,N/A
,FALSE,Nasal Canula Adults PCS,Medical supply,N/A
,FALSE,Nasal Canula Child PCS,Medical supply,N/A
,FALSE,Needle Gage 22 (100 PCS/Box),Medical supply,N/A
,FALSE,Needle Gage 23 (100 PCS/Box),Medical supply,N/A
,FALSE,Needle Gage 25 (100 PCS/Box),Medical supply,N/A
,FALSE,Neublizer Mask Adult PCS,Medical supply,N/A
,FALSE,Neublizer Mask Child PCS,Medical supply,N/A
,FALSE,Neurophathy Testing Device,Medical supply,N/A
,FALSE,Non-contact Thermometer,Medical supply,N/A
,FALSE,Normal Saline (IV Set included) 0.5 Litre/Bott,Medical supply,N/A
,FALSE,Nylon Gloves 500 PCS /box,Medical supply,N/A
,FALSE,Oto-Ophthalmoscope Diagnostic Set,Medical supply,N/A
,FALSE,Oxygyn Mask Adults PCS,Medical supply,N/A
,FALSE,Oxygyn Mask Child PCS,Medical supply,N/A
,FALSE,Peak Flow meter Adults Device and Child,Medical supply,N/A
,FALSE,Plaster Micropore Roll 10 cm PCS,Medical supply,N/A
,FALSE,Plaster Micropore Roll 2.5 cm PCS,Medical supply,N/A
,FALSE,Plaster Micropore Roll 5 cm PCS,Medical supply,N/A
,FALSE,Plaster Zinc Oxide Roll 2.5 cm PCS,Medical supply,N/A
,FALSE,Plaster Zinc Oxide Roll 5 cm PCS,Medical supply,N/A
,FALSE,Plaster Zinc Oxide Roll 7.5 cm PCS,Medical supply,N/A
,FALSE,Povidone Iodine 5 % 1 Littre /Bott,Medical supply,N/A
,FALSE,Povidone Swab 100 PCS/Box,Medical supply,N/A
,FALSE,Pulse Oximeter Device,Medical supply,N/A
,FALSE,Ringer Lactate 0.5 Littre /Bott,Medical supply,N/A
,FALSE,Safty Box paper 10 Littre PCS,Medical supply,N/A
,FALSE,Safty Box paper 5 Littre PCS,Medical supply,N/A
,FALSE,Scissors Size 18 CM Stainlss steel,Medical supply,N/A
,FALSE,Silk Sutures 2/0 12 PCS/ Box,Medical supply,N/A
,FALSE,Silk Sutures 3/0 12 PCS/ Box,Medical supply,N/A
,FALSE,Silk Sutures 4/0 12 PCS/ Box,Medical supply,N/A
,FALSE,Silk Sutures 5/0 12 PCS/ Box,Medical supply,N/A
,FALSE,Silk Sutures 6/0 12 PCS/ Box,Medical supply,N/A
,FALSE,Soft Gauze Roll 10 cm *4.5 m PCS,Medical supply,N/A
,FALSE,Stainless steel Needle Holder PCS,Medical supply,N/A
,FALSE,Stainless steel Surgical Blade Handle PCS,Medical supply,N/A
,FALSE,Sterile Gauze Swab 10*10 cm (10 PCS/Box),Medical supply,N/A
,FALSE,Sterile Gauze Swab 10*10 cm (100 PCS/Box),Medical supply,N/A
,FALSE,Sterile Surgical Gloves (M) (50 Pairs /Box),Medical supply,N/A
,FALSE,Sterile Surgical Gloves (S) (50 Pairs /Box),Medical supply,N/A
,FALSE,Sterile Vaseline Gauze 10*10 (10 PCS/Box),Medical supply,N/A
,FALSE,Sterile Vaseline Gauze 10*10 (30 PCS/Box),Medical supply,N/A
,FALSE,Sterile Vaseline Gauze 10*10 (40 PCS/Box),Medical supply,N/A
,FALSE,Sterilization Pouch Roll (25 CM *200 Meter ),Medical supply,N/A
,FALSE,Stethoscope (Dual Head),Medical supply,N/A
,FALSE,Surgical Face Mask 100 pcs/box,Medical supply,N/A
,FALSE,Surgical and Sutures Kit,Medical supply,N/A
,FALSE,Syringe Size 10 ml (Needle Included) (100 PCS/Box),Medical supply,N/A
,FALSE,Syringe Size 3 ml (Needle Included) (100 PCS/Box),Medical supply,N/A
,FALSE,Syringe Size 3 ml (Needle Included) (250 PCS/Box),Medical supply,N/A
,FALSE,Syringe Size 3 ml (Needle Included) (300 PCS/Box),Medical supply,N/A
,FALSE,Syringe Size 5 ml (Needle Included) (200 PCS/Box),Medical supply,N/A
,FALSE,Syringe Size 5 ml (Needle Included) (220 PCS/Box),Medical supply,N/A
,FALSE,Syringe Size 5 ml (Needle Included) (250 PCS/Box),Medical supply,N/A
,FALSE,Syringe insulin size 1 ML needle G30 (100 PCS/Box),Medical supply,N/A
,FALSE,Tounge Depressor (wooden) (100 PCS/Box),Medical supply,N/A
,FALSE,Triangular Bandage PCS,Medical supply,N/A
,FALSE,Urine Bag 2 liters size 10 PCS/Box,Medical supply,N/A
,FALSE,Urine Catheter size 16 PCS,Medical supply,N/A
,FALSE,Urine Catheter size 18 PCS,Medical supply,N/A
