Uuid,Void/Retire,Fully specified name:en,Data class,Data type
,FALSE,ACYCLOVIR 2 %,Drug,N/A
,FALSE,ACYCLOVIR 800 MG,Drug,N/A
,FALSE,ALENDRONATE NA 70 MG,Drug,N/A
,FALSE,ALFACALCIDOL 0.25 MG,Drug,N/A
,FALSE,ALFACALCIDOL 1 MG,Drug,N/A
,FALSE,ALLOPURINOL 100 MG,Drug,N/A
,FALSE,ALPHA LIPOLIC ACID 300,Drug,N/A
,FALSE,AMOXICILLIN 400 MG,Drug,N/A
,FALSE,AMOXICILLIN 500 MG,Drug,N/A
,FALSE,AMOXICILLIN 875 MG,Drug,N/A
,FALSE,ANTI HEMORRHOIDS,Drug,N/A
,FALSE,ANTIHISTAMINE DECONGESTANT,Drug,N/A
,FALSE,ANTIHISTAMINE DECONGESTANT EYE,Drug,N/A
,FALSE,ANTILICE,Drug,N/A
,FALSE,APIXABAN 5 MG,Drug,N/A
,FALSE,ARTIFICIAL TEARS EYE,Drug,N/A
,FALSE,ASCORBIC ACID 750 MG,Drug,N/A
,FALSE,ATORVASTATIN 20 MG,Drug,N/A
,FALSE,ATORVASTATIN 40 MG,Drug,N/A
,FALSE,AZITHROMYCIN 250,Drug,N/A
,FALSE,AZITHROMYCIN 500 MG,Drug,N/A
,FALSE,Acetylsalicylic Acid 100 MG,Drug,N/A
,FALSE,Acetylsalicylic Acid 75 MG,Drug,N/A
,FALSE,Acyclovir 100 MG,Drug,N/A
,FALSE,Amlodipine 5 MG,Drug,N/A
,FALSE,Amoxicillin 125 MG,Drug,N/A
,FALSE,Azithromycin 200 MG,Drug,N/A
,FALSE,Azithromycin 250 MG,Drug,N/A
,FALSE,B- SITOSTEROL 0.025 MG,Drug,N/A
,FALSE,BECLOMETHASONE 100 MCG,Drug,N/A
,FALSE,BECLOMETHASONE 250 MCG,Drug,N/A
,FALSE,BENZATHINE BENZYL PENICILLINE (LAP) 1.2 MIU,Drug,N/A
,FALSE,BENZATHINE BENZYL PENICILLINE (LAP) 2.4 MIU,Drug,N/A
,FALSE,BETAHISTINE 16 MG,Drug,N/A
,FALSE,BETAMETHASONE 1 %,Drug,N/A
,FALSE,BETAMETHASONE 2 MG,Drug,N/A
,FALSE,BISACODYL 5 MG,Drug,N/A
,FALSE,BISOPROLOL HEMIFUMARATE 10 MG,Drug,N/A
,FALSE,BISOPROLOL HEMIFUMARATE 5 MG,Drug,N/A
,FALSE,BRIMONIDINE 0.1 %,Drug,N/A
,FALSE,BROMHEXINE,Drug,N/A
,FALSE,BUDESUNIDE 400 MCG,Drug,N/A
,FALSE,CABERGOLINE 0.5 MG,Drug,N/A
,FALSE,CACO3,Drug,N/A
,FALSE,CALAMINE 15 %,Drug,N/A
,FALSE,CALCIUM 600 MG,Drug,N/A
,FALSE,CANDESARTAN,Drug,N/A
,FALSE,CANDESARTAN 16 MG,Drug,N/A
,FALSE,CARBIDOPA /LEVODOPA 250 25 MG,Drug,N/A
,FALSE,CEFALEXIN 1000 MG,Drug,N/A
,FALSE,CEFALEXIN 500 MG,Drug,N/A
,FALSE,CEFDINIR 250 MG,Drug,N/A
,FALSE,CEFDINIR 300 MG,Drug,N/A
,FALSE,CEFIXIM 100 MG,Drug,N/A
,FALSE,CEFIXIM 200 MG,Drug,N/A
,FALSE,CEFIXIM 400 MG,Drug,N/A
,FALSE,CEFUROXIME 500 MG,Drug,N/A
,FALSE,CELECOXIB 100 MG,Drug,N/A
,FALSE,CELECOXIB 200 MG,Drug,N/A
,FALSE,CHLORHIXIDINE,Drug,N/A
,FALSE,CHLOROPHENIRAMINE 1 MG 5 ML,Drug,N/A
,FALSE,CHLORPHENERAMINE 2 MG,Drug,N/A
,FALSE,CHLORPHENERAMINE 2 MG 5 ML,Drug,N/A
,FALSE,CHLORPHENERAMINE 4 MG,Drug,N/A
,FALSE,CHLORPHENERAMINE 8 MG,Drug,N/A
,FALSE,CINNARIZINE 25 MG,Drug,N/A
,FALSE,CIPROFLOXACIN 500 MG,Drug,N/A
,FALSE,CIPROFLOXACIN HCL 0.2 %,Drug,N/A
,FALSE,CLAVULANIC ACID 125 MG,Drug,N/A
,FALSE,CLAVULANIC ACID 57 MG,Drug,N/A
,FALSE,CLINDAMYCIN 2 %,Drug,N/A
,FALSE,CLINDAMYCIN 300 MG,Drug,N/A
,FALSE,CLOBETASOL PROPIONATE 0.05 %,Drug,N/A
,FALSE,CLOMEPHENE CITRATE 50 MG,Drug,N/A
,FALSE,CLOTRIMAZOLE 1 %,Drug,N/A
,FALSE,CLOTRIMAZOLE 1% 30 GR,Drug,N/A
,FALSE,CLOTRIMAZOLE 200 MG,Drug,N/A
,FALSE,COLCHICINE 0.5 MG,Drug,N/A
,FALSE,COLLAGENASE 0.6 IU,Drug,N/A
,FALSE,COPPER IUD,Drug,N/A
,FALSE,Candesartan 8 MG,Drug,N/A
,FALSE,Clopidogrel 75 MG,Drug,N/A
,FALSE,D,Drug,N/A
,FALSE,DAPAGLIFLOZIN 10 MG,Drug,N/A
,FALSE,DECONGESTANT NASAL SPRAY 0.05 %,Drug,N/A
,FALSE,DEXAMETHASONE,Drug,N/A
,FALSE,DEXAMETHASONE 0.5 MG,Drug,N/A
,FALSE,DEXAMETHASONE 4 MG,Drug,N/A
,FALSE,DEXCHLORPHENERAMINE 2 MG,Drug,N/A
,FALSE,DEXCHLORPHENERAMINE 2 MG 5 ML,Drug,N/A
,FALSE,DEXIBUPROFEN 400 MG,Drug,N/A
,FALSE,DEXMETHORPHAN 10 MG,Drug,N/A
,FALSE,DEXTROMETHORPHAN HBR 10MG 5 ML,Drug,N/A
,FALSE,DICLOFEN 75 MG,Drug,N/A
,FALSE,DICLOFENAC K 50 MG,Drug,N/A
,FALSE,DICLOFENAC SODIUM 1 %,Drug,N/A
,FALSE,DICLOFENAC SODIUM 12.5 MG,Drug,N/A
,FALSE,DICLOFENAC SODIUM 25 MG,Drug,N/A
,FALSE,DIMETHICONE ANTIFLAUTELENCE,Drug,N/A
,FALSE,DIOCTYL NA PHOSPHOSACCINATE 100,Drug,N/A
,FALSE,DORZOLAMIDE 2 %,Drug,N/A
,FALSE,DOXALAMINE 25 MG,Drug,N/A
,FALSE,DOXYCYCLINE 100 MG,Drug,N/A
,FALSE,DUAL THERAPY CONTRACEPTIVE PILLS 3 CYCLES /BOX,Drug,N/A
,FALSE,DYDROGESTERONE 10 MG,Drug,N/A
,FALSE,Desloratadine 5 MG,Drug,N/A
,FALSE,Dexamethasone 8 MG,Drug,N/A
,FALSE,Diclofenac Sodium 100,Drug,N/A
,FALSE,Diclofenac Sodium 50 MG,Drug,N/A
,FALSE,Diclofenac Sodium 75 MG,Drug,N/A
,FALSE,ENALAPRIL MALEATE 20 MG,Drug,N/A
,FALSE,ESOMEPRAZOLE 40 MG,Drug,N/A
,FALSE,FAMOTIDINE 40 MG,Drug,N/A
,FALSE,FEXOFENADINE HCL 180 MG,Drug,N/A
,FALSE,FLUCONAZOLE 150 MG,Drug,N/A
,FALSE,FLUCONAZOLE 200 MG,Drug,N/A
,FALSE,FLUOROMETHOLONE 0.1 %,Drug,N/A
,FALSE,FLUTICASONE 0.05 %,Drug,N/A
,FALSE,FOLIC ACID 30,Drug,N/A
,FALSE,FOLIC ACID 400 MCG,Drug,N/A
,FALSE,FORMETEROL 12 MCG,Drug,N/A
,FALSE,FURAZOLIDONE 20 MG,Drug,N/A
,FALSE,FUROSEMIDE 40 MG,Drug,N/A
,FALSE,Ferrous Sulfate 50 MG 15 ML,Drug,N/A
,FALSE,Ferrous Sulfate 60 MG,Drug,N/A
,FALSE,Fusidic Acid 2 %,Drug,N/A
,FALSE,GENTAMYCIN,Drug,N/A
,FALSE,GENTAMYCIN 0.1 %,Drug,N/A
,FALSE,GENTAMYCIN 2 %,Drug,N/A
,FALSE,GLICLAZIDE 80 MG,Drug,N/A
,FALSE,GUAIPHENESIN 100 MG/5ML 100 ML,Drug,N/A
,FALSE,Glimepiride 2 MG,Drug,N/A
,FALSE,Glimepiride 3 MG,Drug,N/A
,FALSE,Glimepiride 4 MG,Drug,N/A
,FALSE,Guaifenesin,Drug,N/A
,FALSE,Guaifenesin 100 MG,Drug,N/A
,FALSE,HCT 16 12.5 MG,Drug,N/A
,FALSE,HCT 160 12.5 MG,Drug,N/A
,FALSE,HCT 160 25 MG,Drug,N/A
,FALSE,HCT 80 12.5 MG,Drug,N/A
,FALSE,HEXAMINE 500 MG,Drug,N/A
,FALSE,HEXAMINE-SODIUM BENZOATE EFF. POW 125 GR,Drug,N/A
,FALSE,HIGH POTENCY VIT B COMPLEX,Drug,N/A
,FALSE,HIGH POTENCY VIT B COMPLEX 5,Drug,N/A
,FALSE,HIGH POTENCY VIT B COMPLEX 6,Drug,N/A
,FALSE,HYDROCHLOROTHIAZIDE 25 MG,Drug,N/A
,FALSE,HYDROCORTISONE 1 %,Drug,N/A
,FALSE,HYDROCORTISONE VAG.OVU 6 OVU/BOX,Drug,N/A
,FALSE,HYOSCINE -N- BUTYL BROMIBE 10 MG,Drug,N/A
,FALSE,Hydralazine 20 MG,Drug,N/A
,FALSE,IBUPROFEN 100 MG,Drug,N/A
,FALSE,IBUPROFEN 100 MG 5 ML,Drug,N/A
,FALSE,IBUPROFEN 200 MG,Drug,N/A
,FALSE,IBUPROFEN 200 MG 5 ML,Drug,N/A
,FALSE,IBUPROFEN 400 MG,Drug,N/A
,FALSE,IBUPROFEN 600 MG,Drug,N/A
,FALSE,INDOMETHACIN 25 MG,Drug,N/A
,FALSE,IRON 60 MG,Drug,N/A
,FALSE,IRON SULPHATE 125 MG,Drug,N/A
,FALSE,ISO-SORBIDE DINITRATE 5 MG,Drug,N/A
,FALSE,ISO-SORBIDE MONONITRATE 20 MG,Drug,N/A
,FALSE,ITRACONAZOLE 100 MG,Drug,N/A
,FALSE,IVY LEAVES EXTRACT,Drug,N/A
,FALSE,KETOCONAZOLE 2 %,Drug,N/A
,FALSE,KETOPROFEN 150 MG,Drug,N/A
,FALSE,KHELLINE 1.83 MG,Drug,N/A
,FALSE,LACTULOSE,Drug,N/A
,FALSE,LETROZOLE 2.5 MG,Drug,N/A
,FALSE,LEVOFLOXACIN 0.1 %,Drug,N/A
,FALSE,LEVOFLOXACIN 500 MG,Drug,N/A
,FALSE,LEVOFLOXACIN 750 MG,Drug,N/A
,FALSE,LEVOTHYROXINE 50 MG,Drug,N/A
,FALSE,LEVOTHYROXINE SODIUM 100 MCG,Drug,N/A
,FALSE,LOSARTAN 100 MG,Drug,N/A
,FALSE,LOSARTAN 50 MG,Drug,N/A
,FALSE,Lomefloxacin 0.1 %,Drug,N/A
,FALSE,Lornoxicam 8 MG,Drug,N/A
,FALSE,MAG,Drug,N/A
,FALSE,MEBENDAZOLE 100 MG,Drug,N/A
,FALSE,MECLOZINE,Drug,N/A
,FALSE,MEDROXYPROGESTERONE 10 MG,Drug,N/A
