Uuid,Void/Retire,Fully specified name:en,Data class,Data type
,FALSE,Urine strip 100 strip/bottle,Test,N/A
,FALSE,Activated PTT Reagent 2ml x 10 bottle,Test,N/A
,FALSE,Alb reagent 250ml x 4 bottle,Test,N/A
,FALSE,ALP reagent 250ml x 4 bottle,Test,N/A
,FALSE,ALT reagent 250ml x 4 bottle,Test,N/A
,FALSE,AMH kit 25 test/pack,Test,N/A
,FALSE,Antibiotic discs PCS,Test,N/A
,FALSE,ASOT kit,Test,N/A
,FALSE,AST reagent 250ml x 4 bottle,Test,N/A
,FALSE,Calcium reagent 100 ml x 1 bottle,Test,N/A
,FALSE,CBC Control 4ml tube,Test,N/A
,FALSE,CBC detergent 1x50 ml,Test,N/A
,FALSE,CBC Diluent 1x 20L,Test,N/A
,FALSE,CBC Lyse 1x 500 ml,Test,N/A
,FALSE,Cholesterol reagent 125ml x 4 bottle,Test,N/A
,FALSE,Control Normal bottle 5 ml,Test,N/A
,FALSE,Control Pathogen bottle 5 ml,Test,N/A
,FALSE,Creatinine reagent 250ml x 4 bottle,Test,N/A
,FALSE,CRP kit,Test,N/A
,FALSE,Electrolytes reagents bott,Test,N/A
,FALSE,Fibrinogen reagent 2ml x 10 bottle,Test,N/A
,FALSE,FSH kit 25 test/pack,Test,N/A
,FALSE,Glucose reagent 1000 ml bottle,Test,N/A
,FALSE,H.Pylory Cassette 25 test /box,Test,N/A
,FALSE,HbA1c kit 25 test/pack,Test,N/A
,FALSE,LH kit 25 test/pack,Test,N/A
,FALSE,Occult Blood Cassette 25 test /box,Test,N/A
,FALSE,Pregnancy Test Strips 50 tast /Bag,Test,N/A
,FALSE,Prolactin kit 25 test/pack,Test,N/A
,FALSE,PT Reagents 4ml x 10 bottle,Test,N/A
,FALSE,RF kit,Test,N/A
,FALSE,Testosterone kit 25 test/pack,Test,N/A
,FALSE,Total Protein reagent 250ml x 4 bottle,Test,N/A
,FALSE,Triglyceride reagent 125ml x 4 bottle,Test,N/A
,FALSE,TSH kit 25 test/pack,Test,N/A
,FALSE,TT4 kit 25 test/pack,Test,N/A
,FALSE,Urea reagent 250ml x 4 bottle,Test,N/A
,FALSE,Uric Acid reagent 250ml x 4 bottle,Test,N/A
,FALSE,Vit D kit 25 test/pack,Test,N/A
