Uuid,Void/Retire,Fully specified name:en,Data class,Data type
d13e34a7-d35d-43bc-88d2-b8ae3c6ecba1,TRUE,Stat Pak(R) HIV Test kit,Medical supply,N/A
9c4011c2-2579-49cf-ab53-93d009f03e7b,TRUE,Trinity Biotech trinscreen HIV test kit,Medical supply,N/A
3de9db8a-32a2-4518-8887-c8f25208dade,TRUE,One step HIV 1/2 testing kit,Medical supply,N/A
166452AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Premier first Response(R) Test kit,Medical supply,N/A
166451AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Abbott Determine(R) test kit,Medical supply,N/A
164814AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Female condom,Medical supply,N/A
164813AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Male condom,Medical supply,N/A
166453AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Abbott SD bioline HIV/syphilis duo test kit,Medical supply,N/A
1936AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Suture; silk braided gauge 2/0; length 75cm; needle size 3/8 circle; cutting 16mm,Medical supply,N/A
1931AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,MCH growth monitoring chart,Medical supply,N/A
1930AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Antenatal card,Medical supply,N/A
1929AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Scalpel blade; size 10; sterile,Medical supply,N/A
1928AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Suture; silk braided gauge 1/0; length 75cm; needle size 3/8 circle; cutting 16mm,Medical supply,N/A
1927AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Gloves; surgical; latex; disposable; sterile; size 7.5,Medical supply,N/A
1926AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Gloves; examination; latex; non-sterile; size 7.5,Medical supply,N/A
1925AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Suture; catgut chromic gauge 2/0; length 75cm; needle size ½ circle; RB 30mm,Medical supply,N/A
1924AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Bandage; gauze; non-sterile; 7.5 cm x 9.0 m,Medical supply,N/A
1923AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Syringe; disposable; 2ml with 22G needle,Medical supply,N/A
1922AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Syringe; disposable; 5ml with 20G needle,Medical supply,N/A
1921AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Needle; 23G; butterfly,Medical supply,N/A
1920AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Infusion kit,Medical supply,N/A
1aa25f78-239e-43ae-8c96-22cebdac5d25,TRUE,Paraffin gauze dressing,Medical supply,N/A
66897faf-fc2b-4b84-9459-c446fee69965,TRUE,Gauze roll; sterile,Medical supply,N/A
17f1d11d-f6fe-45d7-b659-b3ad540e03b0,TRUE,Sterile absorbent dressing pad,Medical supply,N/A
de7f4c71-d996-4e3c-8735-b226b2487d04,TRUE,Isopropyl alcohol 70 percent injection swab,Medical supply,N/A
cfcb38ba-22af-4d9a-830b-e8d3929bc0e3,TRUE,Abdominal gauze swab; x-ray detectible; 24 ply,Medical supply,N/A
0c164829-ccf9-464c-aa35-13e7759afbe5,TRUE,Clear dental aligner,Medical supply,N/A
1ec00247-35dc-4dfa-8f2f-1194358db4fe,TRUE,Removable functional orthodontic appliance,Medical supply,N/A
f32dd0a6-6c1a-4a31-86f6-e89a1944cea8,TRUE,Removable orthodontic retainer,Medical supply,N/A
c610ef91-6505-43e8-89b8-a5d3051148be,TRUE,Removable prosthodontics,Medical supply,N/A
ffc475cf-e0b1-47ea-86c2-7cd1cf544fb8,TRUE,Fetal doppler system,Medical supply,N/A
82b565e3-1547-4715-a244-5491e588dcd1,TRUE,Pinard stethoscope,Medical supply,N/A
2f657b01-a854-4ebd-9ea9-0a8b86e55a5d,TRUE,Cane,Medical supply,N/A
ad70e004-0cac-4554-b827-30cea949cfe5,TRUE,Orthotic device,Medical supply,N/A
167124AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Shang ring,Medical supply,N/A
166899AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Suction drain,Medical supply,N/A
166868AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Hypodermic needle,Medical supply,N/A
166863AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Syringe; disposable,Medical supply,N/A
166862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Sexual lubricant,Medical supply,N/A
166861AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,HIV self-test kit,Medical supply,N/A
166818AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Endometrial biopsy curette,Medical supply,N/A
166696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Negative-pressure wound therapy system pump,Medical supply,N/A
166695AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Penrose drain,Medical supply,N/A
165474AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Baby clothing kit,Medical supply,N/A
165473AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,ABO blood typing kit,Medical supply,N/A
163287AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Sterile water for injection; 1 ml ampule,Medical supply,N/A
163285AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,Sharp disposal container,Medical supply,N/A
