Uuid,Void/Retire,Name
988bf012-f48f-4ed2-a6f1-5488505584e6,TRUE,Acetaminophen
dfd36a48-1946-454c-bc04-8dc7cada7120,TRUE,Acetaminophen 325 mg
2c9027fa-3723-491c-bbed-8989f0d4dabe,TRUE,Acetasol 1%+2%
4eb11496-3275-4087-ab5c-b1e4ea885e99,TRUE,Acide Folique Co 5mg
123c4342-552a-4db9-bb0b-a7d0bd2e5849,TRUE,Acyclovir Co 400mg
a74fe93c-b023-4159-8bd6-5d40a0909636,TRUE,Acyclovir creme 3%
22269776-0866-4d7f-b4f6-901d31531f83,TRUE,Acyclovir ophtalmique 5%
45aaf344-e567-4716-be52-4a7a642305c1,TRUE,Acyclovir Sirop 200mg
77addc86-5036-4a82-b722-826635e1ce0b,TRUE,Adrenaline Injection 1mg
f2736658-a69e-45e0-b289-e771ec86fc0c,TRUE,Advair 250mg+50mg
e6f2566d-610f-4d78-a3d5-e086d6742c51,TRUE,Advair 500mg+50mg
3af6ca73-f2ee-43ff-8464-fa00bf525e9b,TRUE,Advil 200mg
a116c770-3d2e-4139-b670-45e021fede4e,TRUE,Advil 400mg
3e804780-c538-4800-ab4d-da7f710dc4cd,TRUE,Advil 600mg
37302e59-9824-4ec3-a8f7-6b491a5ee183,TRUE,Albendazole Co 400mg
7bf6328a-4194-484e-846f-a98bd41634e8,TRUE,Albendazole Sirop 400mg/10ml
62e89330-c656-44dc-bcf9-a7c90111e8c3,TRUE,Albenza 200mg
56034516-35a4-4bca-826e-df42008ebeed,TRUE,Albenza 400mg
39a96958-781f-4d84-a9e8-56f6dfbf9061,TRUE,Albuterol Inhalation 2.5mg/3ml
e2dc4a41-7f0b-44c7-ac3a-676939f176ef,TRUE,Alclometasone 0.05%
14af1c0c-decd-41c0-ba07-95059f167ed2,TRUE,Allegra 180mg
247b17b0-8fe9-48de-a0f6-4b9a6f1caee8,TRUE,Allegra 60mg
c3fb68d0-ba3d-4b94-bcb8-b2286d9b0358,TRUE,Alpha Métyl Dopa Co 250mg
58a9f6d0-1092-4c9c-b195-fbd7e43b39dd,TRUE,Aminovit Gtts
43615798-db46-4e2a-95a8-182ead4da45b,TRUE,Amlodipine
00a789ff-da44-42b9-b929-3a069d98d3e1,TRUE,Amlodipine 5mg
ed9e55d8-eb78-4e2f-bc57-d5107ac1481c,TRUE,Amoxicillin 125mg/5ml
a8b5bd1d-867a-4159-b585-13fe1bd59dce,TRUE,Amoxicillin 250mg
0e99b832-3cad-4039-bfb5-0c2f55906f8a,TRUE,Amoxicillin 250mg/5ml
9e99eb20-5172-433a-ba7e-669b0f2af50b,TRUE,Amoxicillin 400mg/5ml
a8355c83-31db-4089-a962-512e35097ef0,TRUE,Amoxicillin 500mg
